"Col001","Col002","Col003","Col004","Col005","Col006","Col007","Col008","Col009","Col010","Col011","Col012","Col013","Col014","Col015","Col016","Col017","Col018","Col019","Col020","Col021","Col022","Col023","Col024","Col025","Col026","Col027","Col028"
"0","XXXXXXXX","2004-01-09 00:00:00","BAABOUD TRADING","JEDDAH","52","2004-01-10 00:00:00","2004-01-11 00:00:00","2004-01-11 00:00:00","12","0","CALLSIGN",,,,,,,,,,,,,,,,
"1","O.M BONITATIS","2012-01-01 00:00:00","ATLANTIC","ADBIYA","734","2012-01-01 00:00:00","2012-01-01 00:00:00","2012-01-01 00:00:00","6129                    RIGI.NO. 25/2012","0","ASNF7",,,,,,,,,,,,,,,,
"2","BERNHARD SIBUM","2012-01-10 00:00:00","ATLANTIC","ADBIYA","735","2012-01-10 00:00:00","2012-01-10 00:00:00","2012-01-10 00:00:00","8201                   RIGI.NO.36/2012","0","V2CB8",,,,,,,,,,,,,,,,
"3","O.M.BONITATIS","2012-01-20 00:00:00","ALBARRAK","ADBIYA","736","2012-01-20 00:00:00","2012-01-20 00:00:00","2012-01-20 00:00:00","6201             RIGISTRATION NO.59/2012","0","A 8 NF7",,,,,,,,,,,,,,,,
"4","BERNHARD SIBUM","2012-01-24 00:00:00","ATLANTIC","ADBIYA","737","2012-01-24 00:00:00","2012-01-24 00:00:00","2012-01-24 00:00:00","8202             RIGISTRATION NO.74/2012","0","V 2 CB 8",,,,,,,,,,,,,,,,
"5","O.M BONITATIS","2012-02-03 00:00:00","ATLANTIC","ADBIYA","738","2012-02-03 00:00:00","2012-02-03 00:00:00","2012-02-03 00:00:00","6202           RIGISTRATION NO.106/2012","0","A 8 NF7",,,,,,,,,,,,,,,,
"6","BERNHARD SIBUM","2012-02-04 00:00:00","ATLANTIC","","739","2012-02-04 00:00:00","2012-02-04 00:00:00","2012-02-04 00:00:00","8203           RIGISTRATION NO.116/2012","0","V 2 CB 8",,,,,,,,,,,,,,,,
"7","YONG SHENG","2012-02-18 00:00:00","ATLANTIC","XINGANG","740","2012-02-18 00:00:00","2012-02-18 00:00:00","2012-02-18 00:00:00","49","0","VRCA4",,,,,,,,,,,,,,,,
"8","O.M BONITATIS","2012-02-17 00:00:00","ATLANTIC","ADBIYA","741","2012-02-17 00:00:00","2012-02-17 00:00:00","2012-02-17 00:00:00","6203            RIGISTRATION NO.140/2012","0","A 8 NF7",,,,,,,,,,,,,,,,
"9","BERNHARD SIBUM","2012-02-18 00:00:00","ATLANTIC","ADBIYA","742","2012-02-18 00:00:00","2012-02-18 00:00:00","2012-02-18 00:00:00","8204           RIGISTRATION NO.144/2012","0","V 2 CB 8",,,,,,,,,,,,,,,,
"10","O.M BONITATIS","2012-03-07 00:00:00","ATLANTIC","ADBIYA","743","2012-03-07 00:00:00","2012-03-07 00:00:00","2012-03-07 00:00:00","6204          RIGISTRATION NO.202/2012","0","A 8 NF7",,,,,,,,,,,,,,,,
"11","BERNHARD SIBUM","2012-03-08 00:00:00","ATLANTIC","ADBIYA","744","2012-03-08 00:00:00","2012-03-08 00:00:00","2012-03-08 00:00:00","8205          RIGISTRATION NO.211/2012","0","V 2 CB 8",,,,,,,,,,,,,,,,
"12","BERNHARD SIBUM","2012-03-21 00:00:00","ATLANTIC","ADBIYA","745","2012-03-21 00:00:00","2012-03-21 00:00:00","2012-03-21 00:00:00","8206         RIGISTRATION NO.232/2012","0","V 2 CB 8",,,,,,,,,,,,,,,,
